 População Residente - Brasil
População residente por Município e Faixa Etária
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"280300 ITABAIANINHA";713;2943;4120;4480;4027;7130;5473;4201;2903;1854;1084;504;39432
"280310 ITABI";64;274;420;497;495;708;702;647;497;354;172;112;4942
"280320 ITAPORANGA D'AJUDA";603;2232;2983;3457;3284;5918;4682;3318;2026;1461;816;385;31165
"280330 JAPARATUBA";294;1073;1537;1912;1778;3159;2413;2041;1355;900;485;266;17213
"280340 JAPOATA";242;988;1304;1370;1353;2356;1826;1367;887;690;374;169;12926
"280350 LAGARTO";1505;5894;8451;10055;9732;17050;14148;11772;7961;5392;3062;1580;96602
"280360 LARANJEIRAS";518;1981;2601;2906;2905;5649;4248;3062;1785;1074;487;226;27442
"280370 MACAMBIRA";109;401;551;660;644;1090;915;782;556;394;242;148;6492
"280380 MALHADA DOS BOIS";85;263;321;397;330;611;525;418;237;161;114;32;3494
"280390 MALHADOR";217;791;1074;1277;1223;2128;1829;1407;991;661;352;177;12127
"280400 MARUIM";351;1255;1532;1676;1662;3179;2574;1843;1132;740;362;172;16478
"280410 MOITA BONITA";196;608;789;1067;1053;1923;1699;1254;962;763;443;281;11038
"280420 MONTE ALEGRE DE SERGIPE";278;1078;1457;1621;1491;2496;2009;1490;904;639;321;152;13936
"280430 MURIBECA";111;464;669;772;789;1389;1092;788;583;397;230;97;7381
"280440 NEOPOLIS";338;1239;1680;2003;1955;3282;2586;2053;1465;980;606;306;18493
"280445 NOSSA SENHORA APARECIDA";127;497;705;844;873;1443;1359;1014;715;552;266;148;8543
"280450 NOSSA SENHORA DA GLORIA";550;2165;3048;3519;3315;6429;4944;3914;2433;1702;865;457;33341
"280460 NOSSA SENHORA DAS DORES";426;1645;2258;2603;2551;4437;3611;2853;1993;1384;781;399;24941
"280470 NOSSA SENHORA DE LOURDES";123;415;559;699;625;1050;878;771;504;365;194;88;6271
"280480 NOSSA SENHORA DO SOCORRO";3088;11610;15441;17515;16634;31712;26809;22175;11780;5361;2138;931;165194
"280490 PACATUBA";264;987;1377;1615;1417;2492;1753;1277;982;631;409;175;13379
"280500 PEDRA MOLE";62;174;213;302;292;559;455;366;275;166;96;66;3026
"280510 PEDRINHAS";151;599;883;1062;978;1532;1225;1058;658;449;254;121;8970
"280520 PINHAO";96;367;526;626;560;1057;858;731;541;417;184;121;6084
"280530 PIRAMBU";188;638;825;992;896;1613;1161;937;597;365;226;100;8538
"280540 POCO REDONDO";663;2597;3545;3947;3629;5594;4139;3140;1941;1416;633;370;31614
"280550 POCO VERDE";333;1311;1956;2394;2280;3607;3120;2601;1862;1519;844;460;22287
"280560 PORTO DA FOLHA";575;1958;2592;3194;2920;4917;3834;2878;1933;1365;775;429;27370
"280570 PROPRIA";505;1882;2457;2812;2861;5268;3974;3736;2279;1451;926;461;28612
"280580 RIACHAO DO DANTAS";300;1269;1893;2212;2140;3205;2771;2183;1375;1091;662;313;19414
"280590 RIACHUELO";198;731;938;1029;935;1923;1408;1025;633;389;207;93;9509
"280600 RIBEIROPOLIS";269;979;1365;1685;1648;3138;2679;2061;1423;1146;651;391;17435
"280610 ROSARIO DO CATETE";188;715;919;997;968;1841;1494;1093;671;377;179;99;9541
"280620 SALGADO";329;1197;1746;2214;2042;3310;3026;2241;1441;1040;586;267;19439
"280630 SANTA LUZIA DO ITANHY";306;1137;1569;1829;1608;2476;1793;1320;1003;582;296;162;14081
"280640 SANTANA DO SAO FRANCISCO";158;531;664;799;786;1386;1043;719;476;319;201;93;7175
"280650 SANTA ROSA DE LIMA";60;269;395;427;385;603;558;405;266;203;143;59;3773
"280660 SANTO AMARO DAS BROTAS";268;820;982;1232;1115;2116;1706;1296;907;559;347;174;11522
"280670 SAO CRISTOVAO";1578;5558;7048;8147;7843;15792;12893;9937;6478;3313;1652;772;81011
"280680 SAO DOMINGOS";190;680;923;1117;1067;1760;1607;1068;857;630;330;195;10424
"280690 SAO FRANCISCO";57;224;333;387;307;603;545;429;289;186;107;57;3524
"280700 SAO MIGUEL DO ALEIXO";43;218;352;408;430;642;528;401;300;220;125;69;3736
"280710 SIMAO DIAS";580;2297;3400;4115;3901;6789;5579;4663;2977;2382;1474;831;38988
"280720 SIRIRI";189;611;761;930;827;1427;1158;868;602;420;243;133;8169
"280730 TELHA";57;188;256;338;319;518;495;364;206;141;81;43;3006
"280740 TOBIAS BARRETO";693;2991;4376;5022;5198;8493;6952;5768;3908;2859;1682;834;48776
"280750 TOMAR DO GERU";196;872;1297;1462;1448;2279;1858;1377;899;635;373;162;12858
"280760 UMBAUBA";436;1651;2295;2664;2395;4424;3288;2521;1715;1025;536;273;23223
"290010 ABAIRA";77;390;568;606;730;1339;1153;1121;1022;733;561;359;8659
"290020 ABARE";301;1357;1913;1964;1843;3204;2456;1734;1194;913;466;340;17685
"290030 ACAJUTIBA";235;1028;1492;1622;1486;2368;1941;1566;1202;866;557;367;14730
"290035 ADUSTINA";215;944;1467;1716;1599;2888;2196;1857;1236;969;537;290;15914
"290040 AGUA FRIA";221;889;1384;1760;1736;2866;2078;1527;1211;1156;642;414;15884
"290050 ERICO CARDOSO";116;545;844;983;1067;2056;1427;1216;926;775;514;277;10746
"290060 AIQUARA";52;287;415;398;468;779;542;508;478;284;215;110;4536
"290070 ALAGOINHAS";2032;7899;10847;12660;13107;27476;23747;18734;12087;7843;4507;2521;143460
"290080 ALCOBACA";402;1529;2069;2347;2160;3738;2942;2266;1822;1145;595;313;21328
"290090 ALMADINA";102;331;474;650;602;981;761;693;641;452;281;162;6130
"290100 AMARGOSA";359;2013;3155;3295;3444;5921;5206;3976;2832;2045;1536;1063;34845
"290110 AMELIA RODRIGUES";382;1540;2167;2458;2360;4584;3889;3004;2151;1421;737;387;25080
"290115 AMERICA DOURADA";310;1194;1627;1834;1681;2542;2172;1760;1233;839;517;253;15962
"290120 ANAGE";242;1110;1686;1924;1976;3052;2644;2267;1928;1548;971;541;19889
"290130 ANDARAI";203;970;1526;1698;1539;2440;1736;1331;1031;821;400;247;13942
"290135 ANDORINHA";185;802;1209;1402;1359;2568;2154;1706;1085;912;502;325;14209
"290140 ANGICAL";202;830;1229;1458;1414;2544;1842;1522;1206;951;566;228;13992
"290150 ANGUERA";127;577;809;876;1001;1971;1558;1165;820;756;503;264;10427
"290160 ANTAS";219;879;1241;1481;1627;3246;2704;2177;1453;1256;809;434;17526
"290170 ANTONIO CARDOSO";202;737;970;1168;1284;2230;1474;1208;813;706;468;285;11545
"290180 ANTONIO GONCALVES";169;723;1059;1182;1077;1898;1593;1226;945;701;411;245;11229
"290190 APORA";262;1153;1756;1988;1749;2833;2453;1916;1484;1183;708;392;17877
"290195 APUAREMA";99;478;706;767;837;1286;924;768;691;437;280;124;7397
"290200 ARACATU";174;765;1074;1193;1366;2378;1731;1580;1296;1012;634;339;13542
"290205 ARACAS";193;829;1147;1259;1386;2291;1633;1119;872;494;249;170;11642
"290210 ARACI";841;3678;5713;6578;5675;8765;6653;5253;3579;3124;1537;929;52325
"290220 ARAMARI";114;587;919;1006;1048;1987;1721;1165;821;582;324;209;10483
"290225 ARATACA";206;813;1135;1249;1011;1594;1341;1038;884;568;318;150;10307
"290230 ARATUIPE";122;511;802;992;953;1601;1226;921;682;452;252;118;8632
"290240 AURELINO LEAL";254;873;1167;1461;1437;2367;1648;1405;1072;701;445;229;13059
"290250 BAIANOPOLIS";247;925;1215;1367;1314;2360;1873;1477;1091;815;495;241;13420
"290260 BAIXA GRANDE";325;1419;1956;2051;2084;3131;2564;2179;1733;1303;794;492;20031
"290265 BANZAE";219;798;1085;1289;1214;2023;1598;1307;838;786;454;229;11840
"290270 BARRA";877;3916;5896;6552;5931;8545;5966;4662;3324;2360;1422;683;50134
"290280 BARRA DA ESTIVA";318;1359;1965;2173;2016;4308;2906;2180;1613;996;613;320;20767
"290290 BARRA DO CHOCA";643;2455;3313;3767;3607;6684;5034;3788;2592;1942;1157;519;35501
"290300 BARRA DO MENDES";184;870;1310;1413;1338;2057;1729;1557;1370;1113;628;345;13914
"290310 BARRA DO ROCHA";102;418;537;556;610;1133;813;666;527;365;213;98;6038
"290320 BARREIRAS";2505;9568;12337;13595;13969;30689;22950;16850;9659;5051;2678;1230;141081
"290323 BARRO ALTO";186;914;1362;1412;1343;2306;1924;1611;1158;909;554;235;13914
"290327 BARROCAS";223;993;1334;1350;1451;3112;2151;1456;997;856;366;206;14495
"290330 BARRO PRETO";102;339;469;626;627;1085;831;701;576;400;247;119;6122
"290340 BELMONTE";340;1600;2320;2397;2238;3689;3007;2356;1824;1222;719;355;22067
"290350 BELO CAMPO";240;1054;1559;1765;1756;2936;2350;2017;1514;1229;774;431;17625
"290360 BIRITINGA";196;913;1401;1577;1550;2713;1932;1569;1154;923;595;343;14866
"290370 BOA NOVA";147;840;1402;1566;1626;2359;1781;1496;1238;1081;677;407;14620
"290380 BOA VISTA DO TUPIM";304;1234;1760;2068;2178;2751;2165;1887;1427;1095;628;401;17898
"290390 BOM JESUS DA LAPA";1075;4737;6443;6635;6878;12039;8976;7276;4913;3086;1801;881;64740
"290395 BOM JESUS DA SERRA";125;639;946;995;1102;1872;1258;1009;832;661;437;244;10120
"290400 BONINAL";196;821;1232;1481;1528;2313;1721;1452;1173;959;661;356;13893
"290405 BONITO";249;1103;1713;1973;1748;2702;2132;1483;975;630;300;118;15126
"290410 BOQUIRA";285;1257;1946;2332;2393;3649;2839;2358;1778;1588;1048;552;22025
"290420 BOTUPORA";125;600;961;1144;1214;1781;1431;1305;948;727;444;270;10950
"290430 BREJOES";202;851;1219;1392;1462;2709;1907;1519;1207;753;557;345;14123
"290440 BREJOLANDIA";164;702;939;977;1026;1939;1576;1431;992;846;415;240;11247
"290450 BROTAS DE MACAUBAS";145;624;946;1084;971;1432;1257;1217;1007;857;614;325;10479
"290460 BRUMADO";853;3479;4937;5713;5860;11895;10184;8504;5730;4144;2362;1311;64972
"290470 BUERAREMA";280;1049;1499;1856;1833;3098;2369;2195;1865;1267;812;405;18528
"290475 BURITIRAMA";313;1380;2114;2482;2466;3661;2582;1810;1292;932;551;270;19853
"290480 CAATIBA";144;668;962;1002;974;2048;1619;1135;840;619;372;193;10576
"290485 CABACEIRAS DO PARAGUACU";232;1262;1958;2029;2032;3236;2284;1634;1146;894;569;306;17582
"290490 CACHOEIRA";419;1778;2674;3197;3301;6273;4945;3641;2662;1689;1061;630;32270
"290500 CACULE";262;1172;1742;1995;2113;4075;3272;2749;2019;1625;983;570;22577
"290510 CAEM";181;712;988;1123;1054;1602;1237;1052;756;674;418;216;10013
"290515 CAETANOS";176;893;1264;1269;1453;2932;2227;1619;1231;1000;537;325;14926
"290520 CAETITE";667;2729;3763;4330;4876;9182;6760;5571;4130;2806;1859;1101;47774
"290530 CAFARNAUM";348;1237;1660;1988;1827;3038;2399;1825;1307;957;558;254;17398
"290540 CAIRU";300;1161;1472;1556;1565;3448;2708;1736;1055;544;281;147;15973
"290550 CALDEIRAO GRANDE";203;955;1288;1262;1381;2166;1554;1259;1022;841;455;272;12658
"290560 CAMACAN";611;2346;3113;3400;3042;5440;4061;3357;2765;1805;1045;550;31535
"290570 CAMACARI";4575;16518;20891;23582;23171;55615;44953;30783;20227;9238;3954;1731;255238
"290580 CAMAMU";762;2852;3873;4417;3872;6187;4293;3426;2722;1635;886;441;35366
"290590 CAMPO ALEGRE DE LOURDES";481;1958;2789;3218;3186;4568;3533;3051;2240;1646;983;503;28156
"290600 CAMPO FORMOSO";999;4532;6785;7448;6874;11695;9682;7197;5260;3786;2009;1038;67305
"290610 CANAPOLIS";189;643;860;1065;966;1503;1241;1017;776;589;367;179;9395
"290620 CANARANA";366;1713;2507;2620;2409;4103;3430;2747;2014;1366;782;373;24430
"290630 CANAVIEIRAS";445;2012;2992;3277;3049;5381;4531;3530;2896;1909;1234;646;31902
"290640 CANDEAL";99;460;750;892;825;1438;1256;935;758;702;360;245;8720
"290650 CANDEIAS";1404;4943;6564;7904;7430;17127;14706;10488;7084;3946;1776;749;84121
"290660 CANDIBA";149;736;1026;1048;1262;2415;1825;1744;1287;901;629;307;13329
"290670 CANDIDO SALES";392;1665;2336;2558;2566;4290;3577;3117;2169;1557;996;488;25711
"290680 CANSANCAO";519;2268;3359;3737;3422;5320;4328;3651;2450;2083;1156;761;33054
"290682 CANUDOS";278;1145;1591;1731;1595;2617;2214;1769;1178;945;584;294;15941
"290685 CAPELA DO ALTO ALEGRE";118;618;929;989;1135;1820;1437;1468;1095;971;561;344;11485
"290687 CAPIM GROSSO";448;1847;2427;2548;2667;4866;4156;2946;2054;1623;990;495;27067
"290689 CARAIBAS";100;545;826;865;974;1586;1265;1107;977;815;479;340;9879
"290690 CARAVELAS";310;1514;2221;2256;2106;3857;2924;2410;1843;1153;661;357;21612
"290700 CARDEAL DA SILVA";165;643;966;1182;1074;1641;1155;889;554;400;225;136;9030
"290710 CARINHANHA";503;2084;3010;3410;3187;4979;3688;2948;2068;1397;862;383;28519
"290720 CASA NOVA";1133;4902;6666;6811;6479;11956;9720;7084;4696;3720;2074;1090;66331
"290730 CASTRO ALVES";324;1490;2206;2493;2739;4573;3770;2921;1927;1563;1016;533;25555
"290740 CATOLANDIA";49;196;275;317;294;528;450;368;288;235;156;59;3215
"290750 CATU";738;2906;3905;4396;4555;10267;8960;6592;4580;2647;1405;783;51734
"290755 CATURAMA";95;494;702;701;856;1648;1214;929;921;659;352;246;8817
"290760 CENTRAL";271;1130;1626;1801;1599;2678;2384;1994;1499;1128;622;325;17057
"290770 CHORROCHO";152;736;1142;1222;1051;1864;1409;1134;734;683;407;260;10794
"290780 CICERO DANTAS";416;1767;2593;2996;3040;5443;4319;4170;2942;2522;1452;810;32470
"290790 CIPO";264;1073;1507;1690;1609;2941;2167;1674;1190;933;538;298;15884
"290800 COARACI";245;1218;1753;1786;1922;3120;2524;2309;2055;1458;1057;490;19937
"290810 COCOS";258;1184;1700;1836;1945;3073;2401;2025;1543;1187;706;377;18235
"290820 CONCEICAO DA FEIRA";314;1296;1815;2009;1955;3941;3393;2332;1622;1112;694;343;20826
"290830 CONCEICAO DO ALMEIDA";180;879;1350;1530;1702;3099;2640;2409;1618;1097;710;491;17705
"290840 CONCEICAO DO COITE";923;3987;5646;6119;5954;11685;9605;7039;4888;3948;2116;1123;63033
"290850 CONCEICAO DO JACUIPE";442;1886;2556;2665;2640;5979;5155;3763;2557;1690;931;453;30717
"290860 CONDE";378;1779;2764;3063;2735;4034;3027;2360;1707;1107;714;435;24103
"290870 CONDEUBA";229;971;1520;1805;1569;2650;2351;1999;1636;1354;839;498;17421
"290880 CONTENDAS DO SINCORA";65;267;380;437;418;785;605;521;473;323;205;134;4613
"290890 CORACAO DE MARIA";338;1284;1850;2312;2378;3841;3212;2449;1821;1356;859;449;22149
"290900 CORDEIROS";67;389;686;813;870;1346;1145;954;768;594;401;212;8245
"290910 CORIBE";196;820;1216;1426;1423;2265;1883;1725;1365;1050;571;270;14210
"290920 CORONEL JOAO SA";288;1120;1635;1951;1739;2860;2227;1871;1179;937;549;294;16650
"290930 CORRENTINA";466;1921;2832;3332;3261;5532;4344;3616;2531;1813;1155;594;31397
"290940 COTEGIPE";187;890;1336;1469;1517;2394;1641;1490;1236;778;453;223;13614
"290950 CRAVOLANDIA";55;323;495;493;532;898;647;541;446;286;220;112;5048
"290960 CRISOPOLIS";282;1278;1988;2276;2098;3185;2858;2089;1612;1394;728;411;20199
"290970 CRISTOPOLIS";200;798;1160;1398;1416;2410;1800;1539;1065;810;525;253;13374
"290980 CRUZ DAS ALMAS";774;3222;4510;5111;5444;11557;9875;7809;5100;3048;1916;1104;59470
"290990 CURACA";603;2367;3183;3502;3300;5799;4596;3448;2204;1883;1114;632;32631
"291000 DARIO MEIRA";241;851;1116;1344;1328;2124;1518;1220;1071;736;437;231;12217
"291005 DIAS D'AVILA";1260;4904;6315;6687;6447;14132;11890;8250;5406;2692;1155;490;69628
"291010 DOM BASILIO";144;664;907;931;1054;2184;1637;1469;1008;760;443;253;11454
"291020 DOM MACEDO COSTA";49;198;286;340;368;664;635;441;363;252;194;104;3894
"291030 ELISIO MEDRADO";96;434;610;661;740;1278;1072;986;800;573;436;275;7961
"291040 ENCRUZILHADA";397;1582;2209;2474;2251;3943;2927;2469;1855;1308;733;330;22478
"291050 ENTRE RIOS";684;2715;3896;4556;4304;7347;6097;4328;2961;1789;966;537;40180
"291060 ESPLANADA";620;2420;3480;4056;3572;5997;4548;3456;2424;1605;891;549;33618
"291070 EUCLIDES DA CUNHA";941;3599;5025;5905;5608;9586;7901;6432;4668;3804;2205;1288;56962
"291072 EUNAPOLIS";1769;6840;9294;10363;9344;19891;16305;11996;8285;4705;2606;1230;102628
"291075 FATIMA";236;949;1467;1859;1880;2958;2459;2111;1416;1203;681;336;17555
"291077 FEIRA DA MATA";85;354;530;628;614;1034;901;714;568;405;248;96;6177
"291080 FEIRA DE SANTANA";8240;33566;45440;49880;51244;114674;96614;72155;46925;27705;14579;7077;568099
"291085 FILADELFIA";264;1098;1513;1659;1668;2929;2458;1739;1280;1088;595;381;16672
"291090 FIRMINO ALVES";70;348;505;515;536;1017;637;605;467;346;233;138;5417
"291100 FLORESTA AZUL";156;644;916;1042;1007;1769;1332;1214;1024;782;508;263;10657
"291110 FORMOSA DO RIO PRETO";447;1721;2339;2654;2534;4759;3197;2103;1596;1035;511;273;23169
"291120 GANDU";516;2115;2804;2961;2957;6051;4502;3540;2586;1466;903;415;30816
"291125 GAVIAO";41;231;364;388;455;748;578;590;458;343;186;128;4510
"291130 GENTIO DO OURO";136;641;1002;1121;1009;1728;1344;1226;970;751;531;231;10690
"291140 GLORIA";267;919;1198;1475;1479;2917;2202;1764;1196;863;528;306;15114
"291150 GONGOGI";111;502;725;796;841;1554;1041;852;703;481;282;143;8031
"291160 GOVERNADOR MANGABEIRA";296;1240;1725;1909;1963;3838;2852;2322;1666;1058;683;374;19926
"291165 GUAJERU";109;463;706;879;973;1600;1144;1054;826;692;467;269;9182
"291170 GUANAMBI";1079;4524;6115;6717;7558;15187;12388;10665;6964;4565;2728;1446;79936
"291180 GUARATINGA";340;1447;2077;2283;2113;3510;2773;2430;2108;1509;843;407;21840
"291185 HELIOPOLIS";163;711;1174;1475;1405;2153;1757;1577;1046;865;517;256;13099
"291190 IACU";425;1650;2376;2864;2789;4046;3267;2692;2026;1562;971;651;25319
"291200 IBIASSUCE";111;489;688;753;827;1697;1442;1264;913;673;482;268;9607
"291210 IBICARAI";273;1369;2139;2301;2132;3754;3134;2613;2379;1701;1149;616;23560
"291220 IBICOARA";370;1445;1807;1842;1812;4180;2566;1644;1071;545;338;185;17805
"291230 IBICUI";191;970;1400;1411;1528;2628;2175;1847;1394;1019;709;378;15650
"291240 IBIPEBA";232;1114;1584;1592;1597;2993;2502;2079;1526;1110;613;335;17277
"291250 IBIPITANGA";168;770;1209;1436;1490;2532;1898;1636;1131;998;678;339;14285
"291260 IBIQUERA";73;322;478;535;507;732;609;534;458;351;159;116;4874
"291270 IBIRAPITANGA";449;1759;2479;2803;2405;3747;2695;2223;1878;1186;726;333;22683
"291280 IBIRAPUA";119;522;717;745;725;1356;1123;985;706;557;351;180;8086
"291290 IBIRATAIA";298;1136;1500;1702;1742;3194;2355;1983;1719;1163;783;384;17959
"291300 IBITIARA";194;821;1256;1538;1619;2625;2018;1786;1437;1200;718;457;15669
"291310 IBITITA";256;1161;1621;1685;1738;2900;2474;2181;1513;1190;691;353;17763
"291320 IBOTIRAMA";431;1647;2289;2704;2664;4725;3579;2810;1996;1475;891;406;25617
"291330 ICHU";84;339;472;543;567;1022;807;758;518;387;255;156;5908
"291340 IGAPORA";196;858;1201;1338;1532;2897;2172;1768;1325;940;630;381;15238
"291345 IGRAPIUNA";257;972;1410;1685;1421;2386;1701;1277;943;556;282;138;13028
"291350 IGUAI";372;1679;2414;2568;2482;4307;3519;2945;2230;1741;1181;615;26053
"291360 ILHEUS";2780;11276;15679;17466;16732;33712;28537;23950;17855;10231;6106;2991;187315
"291370 INHAMBUPE";633;2538;3648;4227;3963;6712;5223;3719;2677;2087;1170;724;37321
"291380 IPECAETA";179;816;1303;1572;1597;2811;1931;1537;1289;987;650;353;15025
"291390 IPIAU";667;2681;3691;4130;4053;8385;6368;5123;4270;2585;1626;959;44538
"291400 IPIRA";780;3671;5478;5997;6126;10201;7720;6217;4918;4034;2438;1421;59001
"291410 IPUPIARA";118;520;735;812;895;1494;1193;1186;944;752;494;255;9398
"291420 IRAJUBA";105;466;681;736;654;1171;941;756;631;441;285;179;7046
"291430 IRAMAIA";170;708;1036;1209;1207;1947;1420;1173;964;691;389;236;11150
"291440 IRAQUARA";385;1603;2335;2660;2464;4075;2912;2434;1837;1300;795;446;23246
"291450 IRARA";406;1696;2422;2823;3083;4974;3779;2989;2179;1812;1060;591;27814
"291460 IRECE";1113;4371;5916;6594;6363;12908;11050;8352;5199;3199;1663;799;67527
"291465 ITABELA";548;2163;2976;3298;2969;5369;3872;2974;2175;1367;738;341;28790
"291470 ITABERABA";908;4010;5654;5990;5834;11722;9090;6982;4843;3516;2172;1316;62037
"291480 ITABUNA";2698;11245;15641;17332;17679;39699;32069;26439;20461;11995;7127;3500;205885
"291490 ITACARE";499;1991;2667;2833;2533;4867;3631;2612;1792;1090;531;208;25254
"291500 ITAETE";260;1037;1498;1783;1756;2517;1798;1455;1155;913;544;347;15063
"291510 ITAGI";196;775;1153;1421;1398;1968;1550;1404;1197;815;583;345;12805
"291520 ITAGIBA";205;947;1321;1384;1520;2769;1924;1682;1441;955;589;351;15088
"291530 ITAGIMIRIM";85;449;689;703;655;1156;969;772;643;453;292;147;7013
"291535 ITAGUACU DA BAHIA";254;993;1367;1558;1499;2271;1752;1461;1006;734;408;184;13487
"291540 ITAJU DO COLONIA";113;553;767;723;688;1083;1034;759;615;425;226;132;7118
"291550 ITAJUIPE";291;1240;1782;2004;2021;3575;2901;2465;1954;1345;900;400;20878
"291560 ITAMARAJU";932;4133;5924;6380;6217;11173;8972;7148;5495;3646;2029;988;63037
"291570 ITAMARI";132;532;747;825;735;1330;1054;813;754;444;303;167;7836
"291580 ITAMBE";282;1443;2207;2312;2223;4055;3214;2429;1811;1377;857;440;22650
"291590 ITANAGRA";111;570;846;859;875;1436;1056;741;508;312;184;92;7590
"291600 ITANHEM";271;1071;1593;1953;1910;3126;2518;2538;2021;1517;1018;479;20015
"291610 ITAPARICA";317;1252;1806;2114;1924;3654;3320;2632;1900;1164;621;290;20994
"291620 ITAPE";150;666;918;971;1034;1895;1441;1158;916;648;429;210;10436
"291630 ITAPEBI";183;750;1086;1219;1028;1609;1373;1208;891;563;322;166;10398
"291640 ITAPETINGA";1045;4354;5921;6302;6120;14262;10828;8052;5642;3912;2275;1190;69903
"291650 ITAPICURU";647;2384;3323;3984;3625;5348;4345;3435;2383;1918;1090;526;33008
"291660 ITAPITANGA";158;650;892;984;1011;1836;1439;1220;855;577;381;178;10181
"291670 ITAQUARA";124;416;593;812;829;1343;1070;894;694;461;331;184;7751
"291680 ITARANTIM";254;1110;1603;1757;1697;3377;2684;2202;1627;1243;739;358;18651
"291685 ITATIM";189;944;1346;1356;1478;2659;1977;1528;959;711;424;270;13841
"291690 ITIRUCU";166;736;1076;1197;1198;2238;1670;1478;1146;796;576;312;12589
"291700 ITIUBA";586;2436;3596;4127;3731;6012;4716;3811;2730;2335;1287;833;36200
"291710 ITORORO";284;1226;1722;1853;1845;3637;2570;2152;1873;1426;912;442;19942
"291720 ITUACU";254;1063;1547;1775;1757;3349;2558;2092;1609;1162;735;401;18302
"291730 ITUBERA";445;1942;2678;2818;2843;5028;3719;2899;2124;1324;780;330;26930
"291733 IUIU";153;720;1076;1196;1260;2107;1420;1210;839;562;304;116;10963
"291735 JABORANDI";151;428;593;921;939;1548;1267;1046;756;566;356;157;8728
"291740 JACARACI";156;688;1014;1194;1399;2552;1894;1815;1467;1138;759;424;14500
"291750 JACOBINA";1241;4857;6682;7646;7479;14220;12144;9435;6708;5031;2626;1511;79580
"291760 JAGUAQUARA";852;3484;4931;5489;4997;8911;7297;5650;4216;2921;1848;1039;51635
"291770 JAGUARARI";422;1814;2665;2982;2760;5344;4688;3747;2532;1958;1166;691;30769
"291780 JAGUARIPE";288;1111;1615;1932;1736;3102;2424;1824;1302;882;475;236;16927
"291790 JANDAIRA";206;796;1131;1295;1073;1782;1412;1012;711;477;319;163;10377
"291800 JEQUIE";2252;9080;12124;13324;14070;28484;23478;18308;13867;8558;5486;3341;152372
"291810 JEREMOABO";543;2595;3820;4026;3954;6237;5081;4319;3034;2403;1358;793;38163
"291820 JIQUIRICA";226;905;1226;1356;1369;2689;1968;1654;1197;714;505;287;14096
"291830 JITAUNA";164;809;1210;1306;1386;2317;1675;1458;1195;825;591;344;13280
"291835 JOAO DOURADO";402;1751;2372;2411;2316;4066;3461;2389;1697;1209;663;329;23066
"291840 JUAZEIRO";3479;14164;18801;19902;19588;38412;32638;24024;14494;8991;4702;2304;201499
"291845 JUCURUCU";150;634;937;1078;1026;1594;1260;1138;983;686;327;159;9972
"291850 JUSSARA";252;1112;1503;1527;1569;2528;1923;1615;1193;979;535;268;15004
"291855 JUSSARI";86;392;599;670;635;989;891;660;586;403;293;118;6322
"291860 JUSSIAPE";83;345;478;550;636;1227;1031;952;820;638;456;317;7533
"291870 LAFAIETE COUTINHO";50;189;266;326;315;728;501;441;427;269;189;129;3830
"291875 LAGOA REAL";178;773;1206;1480;1560;2857;1879;1447;1140;840;504;323;14187
"291880 LAJE";336;1434;2065;2314;2298;4153;3412;2652;1763;1162;687;403;22679
"291890 LAJEDAO";68;226;285;348;333;608;515;467;397;274;178;83;3782
"291900 LAJEDINHO";60;254;363;405;408;631;501;455;332;269;124;79;3881
"291905 LAJEDO DO TABOCAL";108;517;772;843;870;1380;1187;910;720;516;357;166;8346
"291910 LAMARAO";140;583;870;1028;1002;1593;1193;928;723;603;341;267;9271
"291915 LAPAO";433;1820;2480;2628;2574;4578;3750;2943;2027;1414;746;392;25785
"291920 LAURO DE FREITAS";2626;9926;13303;15125;14319;34394;31668;22237;15205;7623;3193;1423;171042
"291930 LENCOIS";214;779;1021;1162;1042;2110;1494;1147;744;471;240;165;10589
"291940 LICINIO DE ALMEIDA";153;703;980;1042;1213;2082;1603;1511;1196;887;586;312;12268
"291950 LIVRAMENTO DE NOSSA SENHORA";582;2427;3445;3921;4056;8299;6514;5255;3665;2839;1621;890;43514
"291955 LUIS EDUARDO MAGALHAES";1386;5327;6460;6409;6164;16520;11920;7171;3291;1175;406;142;66371
"291960 MACAJUBA";154;803;1223;1237;1116;1648;1404;1189;949;725;449;304;11201
"291970 MACARANI";286;1053;1435;1735;1764;3195;2363;1957;1402;1086;664;313;17253
"291980 MACAUBAS";576;2766;4250;4811;5117;8708;6332;5463;3968;3040;1819;1065;47915
"291990 MACURURE";120;563;797;803;755;1421;1090;833;556;521;328;205;7992
"291992 MADRE DE DEUS";272;1008;1403;1678;1575;3624;3167;2559;1521;821;395;160;18183
"291995 MAETINGA";49;325;542;558;598;977;755;674;565;514;315;176;6048
"292000 MAIQUINIQUE";146;601;824;895;872;1635;1303;1048;823;571;328;183;9229
"292010 MAIRI";242;1103;1706;1981;2012;3036;2423;2097;1771;1469;768;555;19163
"292020 MALHADA";269;1194;1747;1909;1817;2840;2057;1699;1139;770;423;194;16058
"292030 MALHADA DE PEDRAS";115;451;656;803;819;1431;1186;1056;703;628;357;184;8389
